row,input_address,street_address,format,is_new,province_name,province_full_name,province_id,province_code,district_name,district_full_name,district_id,district_code,ward_name,ward_full_name,ward_id,ward_code
21,"2/42B Cao Thắng, Phường 5, Quận 3, TP. Hồ Chí Minh",2/42B Cao Thắng,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 3,Quận 3,770,770,Phường 5,Phường 5,27151,27151
22,"TDP 11, Pơng Drang, Krông Búk, Đắk Lắk",TDP 11,old,False,Đắk Lắk,Tỉnh Đắk Lắk,66,66,Krông Búk,Huyện Krông Búk,649,649,Xã Pơng Drang,Xã Pơng Drang,24316,24316
23,"Ấp Rẫy, Thị trấn Tân Hiệp, Châu Thành, Tiền Giang",Ấp Rẫy,old,False,Tiền Giang,Tỉnh Tiền Giang,82,82,Châu Thành,Huyện Châu Thành,821,821,Thị trấn Tân Hiệp,Thị trấn Tân Hiệp,28519,28519
24,"An Bình, Thành phố Dĩ An, Bình Dương",,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Dĩ An,Thành phố Dĩ An,724,724,Phường An Bình,Phường An Bình,25960,25960
25,"2/28, kp. Đông Tân, Dĩ An, Thành phố Dĩ An, Bình Dương",2/28 kp Đông Tân,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Dĩ An,Thành phố Dĩ An,724,724,Phường Dĩ An,Phường Dĩ An,25942,25942
26,"Tổ 6, kp 3, Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",Tổ 6 kp 3,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Tân Uyên,Thành phố Tân Uyên,723,723,Hội Nghĩa,Phường Hội Nghĩa,25915,25915
27,"189A Hòa Bình, Hiệp Tân, Tân Phú, TP. Hồ Chí Minh",189A Hòa Bình,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Tân Phú,Quận Tân Phú,767,767,Phường Hiệp Tân,Phường Hiệp Tân,27037,27037
28,"Thôn Nam Tiến, Kỳ Bắc, Kỳ Anh, Hà Tĩnh",Thôn Nam Tiến,old,False,Hà Tĩnh,Tỉnh Hà Tĩnh,42,42,Kỳ Anh,Huyện Kỳ Anh,447,447,Xã Kỳ Bắc,Xã Kỳ Bắc,18760,18760
29,"Thôn 1 Đức Phú, Tánh Linh, Bình Thuận",Thôn 1,old,False,Bình Thuận,Tỉnh Bình Thuận,60,60,Tánh Linh,Huyện Tánh Linh,599,599,Xã Đức Phú,Xã Đức Phú,23170,23170
30,"TDP Kim 1 Phượng Sơn, Thị xã Chū, Bắc Giang",TDP Kim 1,old,False,Bắc Giang,Tỉnh Bắc Giang,24,24,Chũ,Thị xã Chũ,224,224,Phường Phượng Sơn,Phường Phượng Sơn,07612,07612
31,"Ấp Mỹ Quới Mỹ Đức Đông, Cái Bè, Tiền Giang",Ấp Mỹ Quới,old,False,Tiền Giang,Tỉnh Tiền Giang,82,82,Cái Bè,Huyện Cái Bè,819,819,Xã Mỹ Đức Đông,Xã Mỹ Đức Đông,28405,28405
32,"Khu Phố 6, Thới Hòa, Thị xã Bến Cát, Bình Dương",Khu Phố 6,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Bến Cát,Thành phố Bến Cát,721,721,Phường Thới Hoà,Phường Thới Hoà,25846,25846
33,"Áp Vùng Tây, Long Tân, Dầu Tiếng, Bình Dương",Áp Vùng Tây,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Dầu Tiếng,Huyện Dầu Tiếng,720,720,Xã Long Tân,Xã Long Tân,25804,25804
34,"4, Trần Quang Khải, P.Tân Định, Quận 1, TP.Hồ Chí Minh",4 Trần Quang Khải,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 1,Quận 1,760,760,Phường Tân Định,Phường Tân Định,26734,26734
35,"Thôn Gia Hội, Mỹ Phong, Phú Mỹ, Bình Định",Thôn Gia Hội,old,False,Bình Định,Tỉnh Bình Định,52,52,Phù Mỹ,Huyện Phù Mỹ,545,545,Xã Mỹ Phong,Xã Mỹ Phong,21754,21754
36,"Nhóm 9 - Cao Cường Đông Quang, Ba Vì, Hà Nội",Nhóm 9 Cao Cường Đông Quang,old,False,Hà Nội,Thành phố Hà Nội,01,01,Ba Vì,Huyện Ba Vì,271,271,Xã Đông Quang,Xã Đông Quang,09679,09679
37,"B15.18 A1 Celadon City, Số 2 Đường N4, Tân Sơn Nhì, TP. Hồ Chí Minh",B15 18 A1 Celadon City Số 2 Đường N4,new,True,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,,,,,Phường Tân Sơn Nhì,Phường Tân Sơn Nhì,27019,27019
38,"Thôn Lương Hà, la BLỨ, Chư Pưh, Gia Lai",Thôn Lương Hà la BLỨ,old,False,Gia Lai,Tỉnh Gia Lai,52,52,Chư Pưh,Huyện Chư Pưh,639,639,Xã Chư Pưh,Xã Chư Pưh,23942,23942
39,"319A Nguyễn Sơn, Phú Thạnh, Tân Phú, Hồ Chí Minh",319A Nguyễn Sơn,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Tân Phú,Quận Tân Phú,767,767,Phường Phú Thạnh,Phường Phú Thạnh,27028,27028
40,"Tổ 6, Ấp 3 Phước Thái, Long Thành, Đồng Nai",Tổ 6 Ấp 3,old,False,Đồng Nai,Tỉnh Đồng Nai,75,75,Long Thành,Huyện Long Thành,740,740,Xã Phước Thái,Xã Phước Thái,26422,26422
41,"Tổ 1, Khu Phố 3 Thị trấn Trảng Bom, Trảng Bom, Đồng Nai",Tổ 1 Khu Phố 3,old,False,Đồng Nai,Tỉnh Đồng Nai,75,75,Trảng Bom,Huyện Trảng Bom,737,737,Xã Trảng Bom,Xã Trảng Bom,26248,26248
42,"266/2A Bach Đằng, P24, Bình Thạnh, TP. Hồ Chí Minh",266/2A Bach Đằng,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Bình Thạnh,Quận Bình Thạnh,765,765,Phường 14,Phường 14,26929,26929
43,"Thôn Hiệp Hưng, Bình Hải, Thăng Bình, Quảng Nam",Thôn Hiệp Hưng,old,False,Quảng Nam,Tỉnh Quảng Nam,49,49,Thăng Bình,Huyện Thăng Bình,513,513,Xã Bình Hải,Xã Bình Hải,20839,20839
44,"25 Đ/S 3A, KDC Gia Hòa, Ấp 5, Phong Phú, BC, TP. HCM",25 Đ/S 3A KDC Gia Hòa Ấp 5,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Bình Chánh,Huyện Bình Chánh,785,785,Xã Phong Phú,Xã Phong Phú,27622,27622
45,"Khu Xóm Làng Yên Dương, Cẩm Khê, Phú Thọ",Khu Xóm Làng,old,False,Phú Thọ,Tỉnh Phú Thọ,25,25,Cẩm Khê,Huyện Cẩm Khê,235,235,Xã Yên Dưỡng,Xã Yên Dưỡng,08422,08422
46,"Ấp Tân Phát, Đồi 61, Trảng Bom, Đồng Nai",Ấp Tân Phát,old,False,Đồng Nai,Tỉnh Đồng Nai,75,75,Trảng Bom,Huyện Trảng Bom,737,737,Xã Đồi 61,Xã Đồi 61,26284,26284
47,"Ngọc Diêm 2, Quảng Chính, Quảng Xương, Thanh Hóa",Ngọc Diêm 2,old,False,Thanh Hoá,Tỉnh Thanh Hoá,38,38,Quảng Xương,Huyện Quảng Xương,406,406,Xã Quảng Chính,Xã Quảng Chính,16495,16495
48,"Kp Mỹ Khoan, Thị trấn Hiệp Phước, Nhơn Trạch, Đồng Nai",Kp Mỹ Khoan,old,False,Đồng Nai,Tỉnh Đồng Nai,75,75,Nhơn Trạch,Huyện Nhơn Trạch,742,742,Thị trấn Hiệp Phước,Thị trấn Hiệp Phước,26479,26479
49,"Tổ 1, Ấp 4, Sông Trầu, Trảng Bom, Đồng Nai",Tổ 1 Ấp 4,old,False,Đồng Nai,Tỉnh Đồng Nai,75,75,Trảng Bom,Huyện Trảng Bom,737,737,Xã Sông Trầu,Xã Sông Trầu,26263,26263
50,"Áp Bờ Kinh, Hậu Thạnh, Long Phú, Sóc Trăng",Áp Bờ Kinh,old,False,Sóc Trăng,Tỉnh Sóc Trăng,94,94,Long Phú,Huyện Long Phú,946,946,Xã Hậu Thạnh,Xã Hậu Thạnh,31648,31648
51,"199, Kp Long Đức 3, Tam Phước, Đồng Nai",199 Kp Long Đức 3,new,True,Đồng Nai,Tỉnh Đồng Nai,75,75,,,,,Phường Tam Phước,Phường Tam Phước,26374,26374
52,"Khóm 4, Phường 1, Thị xã Vĩnh Châu, Sóc Trăng",Khóm 4,old,False,Sóc Trăng,Tỉnh Sóc Trăng,94,94,Vĩnh Châu,Thị xã Vĩnh Châu,950,950,Phường 1,Phường 1,31783,31783
53,"Khóm 10, Phường 9, TP. Trà Vinh, Trà Vinh",Khóm 10,old,False,Trà Vinh,Tỉnh Trà Vinh,84,84,Trà Vinh,Thành phố Trà Vinh,842,842,Phường 9,Phường 9,29260,29260
54,"Ấp Lạc Sơn Thạnh Hòa Sơn, Cầu Ngang, Trà Vinh",Ấp Lạc Sơn,old,False,Trà Vinh,Tỉnh Trà Vinh,84,84,Cầu Ngang,Huyện Cầu Ngang,848,848,Xã Thạnh Hoà Sơn,Xã Thạnh Hoà Sơn,29458,29458
55,"Thôn 1, Quảng Khê, Quảng Xương, Thanh Hóa",Thôn 1,old,False,Thanh Hoá,Tỉnh Thanh Hoá,38,38,Quảng Xương,Huyện Quảng Xương,406,406,Xã Quảng Khê,Xã Quảng Khê,16489,16489
56,"Ấp Cái Kè Mỹ Phước, Mang Thịt, Vĩnh Long",Ấp Cái Kè,old,False,Vĩnh Long,Tỉnh Vĩnh Long,86,86,Mang Thít,Huyện Mang Thít,858,858,Xã Mỹ Phước,Xã Mỹ Phước,29626,29626
57,"Khóm 1, Thị trấn Cái Nhum, Mang Thít, Vĩnh Long",Khóm 1,old,False,Vĩnh Long,Tỉnh Vĩnh Long,86,86,Mang Thít,Huyện Mang Thít,858,858,Thị trấn Cái Nhum,Thị trấn Cái Nhum,29641,29641
58,"Tổ 1, Long Bình, Khánh Bình, Thị xã Tân Uyên, Bình Dương",Tổ 1 Long Bình,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Tân Uyên,Thành phố Tân Uyên,723,723,Khánh Bình,Phường Khánh Bình,25921,25921
59,"Xuân Phong, Thọ Xuân, Thanh Hóa",,old,False,Thanh Hoá,Tỉnh Thanh Hoá,38,38,Thọ Xuân,Huyện Thọ Xuân,395,395,Xã Xuân Phong,Xã Xuân Phong,15508,15508
60,"Ấp Tân Lập, Tân Thành, Bình Tân, Vĩnh Long",Ấp Tân Lập,old,False,Vĩnh Long,Tỉnh Vĩnh Long,86,86,Bình Tân,Huyện Bình Tân,863,863,Xã Tân Thành,Xã Tân Thành,29776,29776
61,"490/49/5 Hương Lộ 2, Bình Trị Đông, Bình Tân, TP. Hồ Chí Minh",490/49/5 Hương Lộ 2,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Bình Tân,Quận Bình Tân,777,777,Phường Bình Trị Đông,Phường Bình Trị Đông,27445,27445
62,"Tổ 17, Khu Phố 3 Mỹ Phước, Bến Cát, Bình Dương",Tổ 17 Khu Phố 3,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Bến Cát,Thành phố Bến Cát,721,721,Phường Mỹ Phước,Phường Mỹ Phước,25813,25813
63,"Tân Hùng, Thanh Tân, Như Thanh, Thanh Hóa",Tân Hùng,old,False,Thanh Hoá,Tỉnh Thanh Hoá,38,38,Như Thanh,Huyện Như Thanh,403,403,Xã Thanh Tân,Xã Thanh Tân,16273,16273
64,"86, Đường 23, Hòa Phú, Tp. Thủ Dầu Một, Bình Dương",86 Đường 23,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Thủ Dầu Một,Thành phố Thủ Dầu Một,718,718,Phường Hoà Phú,Phường Hoà Phú,25760,25760
65,"69/15 Bình Phú, Bình Chuẩn, Thuận An, Bình Dương",69/15 Bình Phú,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Thuận An,Thành phố Thuận An,725,725,Phường Bình Chuẩn,Phường Bình Chuẩn,25969,25969
66,"Khu 1, Ấp Chợ Phước Lợi, Bến Lức, Long An",Khu 1 Ấp Chợ,old,False,Long An,Tỉnh Long An,80,80,Bến Lức,Huyện Bến Lức,803,803,Xã Phước Lợi,Xã Phước Lợi,28030,28030
67,"186Đ, Khu vực 4, Thị trấn Đức Hòa, Đức Hòa, Long An",186Đ Khu vực 4,old,False,Long An,Tỉnh Long An,80,80,Đức Hoà,Huyện Đức Hoà,802,802,Thị trấn Đức Hoà,Thị trấn Đức Hoà,27937,27937
68,"Buôn Ariêng, Ea Ral, Ea H'leo, Đắk Lắk",Buôn Ariêng ',old,False,Đắk Lắk,Tỉnh Đắk Lắk,66,66,Ea Hleo,Huyện Ea Hleo,645,645,Xã Ea Ral,Xã Ea Ral,24190,24190
69,"1A Ô 3 Ấp Bàu Trai, Hậu Nghĩa, Tây Ninh",1A Ô 3 Ấp Bàu Trai,new,True,Tây Ninh,Tỉnh Tây Ninh,80,80,,,,,Xã Hậu Nghĩa,Xã Hậu Nghĩa,27931,27931
70,"Ấp 1, Mỹ Thạnh Bắc, Đức Huệ, Long An",Ấp 1,old,False,Long An,Tỉnh Long An,80,80,Đức Huệ,Huyện Đức Huệ,801,801,Xã Mỹ Thạnh Bắc,Xã Mỹ Thạnh Bắc,27904,27904
71,"Tổ 11 Vĩnh Hội, Ngọc Hiệp, Nha Trang, Khánh Hòa",Tổ 11 Vĩnh Hội,old,False,Khánh Hoà,Tỉnh Khánh Hoà,56,56,Nha Trang,Thành phố Nha Trang,568,568,Phường Ngọc Hiệp,Phường Ngọc Hiệp,22336,22336
72,"Tô Dân Phố Số 02, Vạn Giã, Vạn Ninh, Khánh Hòa",Tô Dân Phố Số 02,old,False,Khánh Hoà,Tỉnh Khánh Hoà,56,56,Vạn Ninh,Huyện Vạn Ninh,571,571,Thị trấn Vạn Giã,Thị trấn Vạn Giã,22489,22489
73,"Đông Bình, Phước Vĩnh Đông, Cần Giuộc, Long An",Đông Bình,old,False,Long An,Tỉnh Long An,80,80,Cần Giuộc,Huyện Cần Giuộc,807,807,Xã Phước Vĩnh Đông,Xã Phước Vĩnh Đông,28195,28195
74,"201 Lương Định Của, An Khánh, TP Thủ Đức, TP. Hồ Chí Minh",201 Lương Định Của,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Thủ Đức,Thành phố Thủ Đức,769,769,Phường An Khánh,Phường An Khánh,27094,27094
75,"Ấp 1B, An Thạnh, Bến Lức, Long An",Ấp 1B,old,False,Long An,Tỉnh Long An,80,80,Bến Lức,Huyện Bến Lức,803,803,Xã An Thạnh,Xã An Thạnh,28012,28012
76,"Ấp 1B, An Thạnh, Bến Lức, Long An",Ấp 1B,old,False,Long An,Tỉnh Long An,80,80,Bến Lức,Huyện Bến Lức,803,803,Xã An Thạnh,Xã An Thạnh,28012,28012
77,"Ấp 5 Đức Hòa Đông, Đức Hòa, Long An",Ấp 5,old,False,Long An,Tỉnh Long An,80,80,Đức Hoà,Huyện Đức Hoà,802,802,Xã Đức Hoà Đông,Xã Đức Hoà Đông,27982,27982
78,"TDP Mỹ Trạch, Ninh Hà, Ninh Hòa, Khánh Hòa",TDP Mỹ Trạch,old,False,Khánh Hoà,Tỉnh Khánh Hoà,56,56,Ninh Hoà,Thị xã Ninh Hoà,572,572,Phường Ninh Hà,Phường Ninh Hà,22594,22594
79,"Áp Đông Bình, Đông Phước, Châu Thành, Hậu Giang",Áp Đông Bình,old,False,Hậu Giang,Tỉnh Hậu Giang,93,93,Châu Thành,Huyện Châu Thành,933,933,Xã Đông Phước,Xã Đông Phước,31384,31384
80,"Nghĩa Dũng, Thành phố Quảng Ngãi, Quảng Ngãi",,old,False,Quảng Ngãi,Tỉnh Quảng Ngãi,51,51,Quảng Ngãi,Thành phố Quảng Ngãi,522,522,Xã Nghĩa Dũng,Xã Nghĩa Dũng,21034,21034
81,"Ấp So Đũa Bé, Thạnh Xuân, Châu Thành A, Hậu Giang",Ấp So Đũa Bé,old,False,Hậu Giang,Tỉnh Hậu Giang,93,93,Châu Thành A,Huyện Châu Thành A,932,932,Xã Thạnh Xuân,Xã Thạnh Xuân,31360,31360
82,"Ấp 2 Vĩnh Thuận Đông, H. Long Mỹ, Hậu Giang",Ấp 2,old,False,Hậu Giang,Tỉnh Hậu Giang,93,93,Long Mỹ,Huyện Long Mỹ,936,936,Xã Vĩnh Thuận Đông,Xã Vĩnh Thuận Đông,31486,31486
83,"Kp5, Mỹ Bình, TP. Phan Rang-Tháp Chàm, Ninh Thuận",Kp5,old,False,Ninh Thuận,Tỉnh Ninh Thuận,58,58,Phan Rang-Tháp Chàm,Thành phố Phan Rang-Tháp Chàm,582,582,Phường Mỹ Bình,Phường Mỹ Bình,22779,22779
84,"Ấp Thạnh Lợi A1, Thạnh Hòa, Cần Thơ",Ấp Thạnh Lợi A1,new,True,Cần Thơ,Thành phố Cần Thơ,92,92,,,,,Thạnh Hoà,Xã Thạnh Hoà,31408,31408
85,"Ấp 4, Vĩnh Hòa Hưng Bắc, Gò Quao, Kiên Giang",Ấp 4,old,False,Kiên Giang,Tỉnh Kiên Giang,91,91,Gò Quao,Huyện Gò Quao,907,907,Xã Vĩnh Hoà Hưng Bắc,Xã Vĩnh Hoà Hưng Bắc,30955,30955
86,"Ấp Mỹ Quới, Cây Dương, Phụng Hiệp, Hậu Giang",Ấp Mỹ Quới,old,False,Hậu Giang,Tỉnh Hậu Giang,93,93,Phụng Hiệp,Huyện Phụng Hiệp,934,934,Thị trấn Cây Dương,Thị trấn Cây Dương,31396,31396
87,"Tổ 31, Hòa Hiệp Bắc, Liên Chiểu, Đà Nẵng",Tổ 31,old,False,Đà Nẵng,Thành phố Đà Nẵng,48,48,Liên Chiểu,Quận Liên Chiểu,490,490,Phường Hoà Hiệp Bắc,Phường Hoà Hiệp Bắc,20194,20194
88,"Thôn Đặng Lộc 3, Cam Thủy, Lệ Thủy, Quảng Bình",Thôn Đặng Lộc 3,old,False,Quảng Bình,Tỉnh Quảng Bình,44,44,Lệ Thuỷ,Huyện Lệ Thuỷ,457,457,Xã Cam Thuỷ,Xã Cam Thuỷ,19270,19270
89,"223/25 Ông Ích Khiêm, Hải Châu II, Hải Châu, Đà Nẵng",223/25 Ông Ích Khiêm,old,False,Đà Nẵng,Thành phố Đà Nẵng,48,48,Hải Châu,Quận Hải Châu,492,492,Phường Hải Châu II,Phường Hải Châu II,20239,20239
90,"Tổ 22, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng",Tổ 22,old,False,Đà Nẵng,Thành phố Đà Nẵng,48,48,Ngũ Hành Sơn,Quận Ngũ Hành Sơn,494,494,Phường Hoà Quý,Phường Hoà Quý,20287,20287
91,"Thôn Gò Hà, Hòa Khương, Hòa Vang, Đà Nẵng",Thôn Gò Hà,old,False,Đà Nẵng,Thành phố Đà Nẵng,48,48,Hoà Vang,Huyện Hoà Vang,497,497,Xã Hoà Khương,Xã Hoà Khương,20332,20332
92,"Đông Trà Hòa Thuận, Thành phố Tam Kỳ, Quảng Nam",Đông Trà Hòa Thuận,old,False,Quảng Nam,Tỉnh Quảng Nam,49,49,Tam Kỳ,Thành phố Tam Kỳ,502,502,,,,
93,"Tổ 23, Thanh Khê Tây, Thanh Khê, Đà Nẵng",Tổ 23,old,False,Đà Nẵng,Thành phố Đà Nẵng,48,48,Thanh Khê,Quận Thanh Khê,491,491,Phường Thanh Khê Tây,Phường Thanh Khê Tây,20206,20206
94,"Thôn Bình An, Lộc Vĩnh, Phú Lộc, Thừa Thiên Huế",Thôn Bình An,old,False,Huế,Thành phố Huế,46,46,Phú Lộc,Huyện Phú Lộc,482,482,Xã Lộc Vĩnh,Xã Lộc Vĩnh,20137,20137
95,"Minh Thanh Hương Vinh, Hương Trà, Thừa Thiên Huế",Minh Thanh Hương Vinh,new,True,Huế,Thành phố Huế,46,46,,,,,Hương Trà,Phường Hương Trà,19996,19996
96,"Ấp An Khương, An Thạnh Trung, Chợ Mới, An Giang",Ấp An Khương,old,False,An Giang,Tỉnh An Giang,89,89,Chợ Mới,Huyện Chợ Mới,893,893,Xã An Thạnh Trung,Xã An Thạnh Trung,30670,30670
97,"Thời Hòa Thị trấn Nhà Bàng, Tỉnh Biên, An Giang",Thời Hòa Thị trấn Nhà Bàng,new,True,An Giang,Tỉnh An Giang,91,91,,,,,Tịnh Biên,Phường Tịnh Biên,30520,30520
98,"Phú Vinh, Thị trấn Chợ Vàm, Phú Tân, An Giang",Phú Vinh,old,False,An Giang,Tỉnh An Giang,89,89,Phú Tân,Huyện Phú Tân,888,888,Thị trấn Chợ Vàm,Thị trấn Chợ Vàm,30409,30409
99,"TDP Giáp Thượng 1, Hương Văn, Hương Trà, Thừa Thiên Huế",TDP Giáp Thượng 1,old,False,Huế,Thành phố Huế,46,46,Hương Trà,Thị xã Hương Trà,480,480,Phường Hương Vân,Phường Hương Vân,20008,20008
100,"Trạch Thượng 1 TT. Phong Điền, Phong Điền, TT - Huế",Trạch Thượng 1 TT Phong Điền,new,True,Huế,Thành phố Huế,46,46,,,,,Phong Điền,Phường Phong Điền,19819,19819
101,"15 Tổng Duy Tân, Thuận Thành, TP Huế, Thừa Thiên Huế",15 Tổng Duy Tân,old,False,Huế,Thành phố Huế,46,46,,,,,,,,
102,"13 Phò Trạch, TT. Phong Điền, Phong Điền, TT - Huế",13 Phò Trạch,old,False,Huế,Thành phố Huế,46,46,Phong Điền,Thị xã Phong Điền,476,476,Phường Phong Thu,Phường Phong Thu,19819,19819
103,"Khóm Vĩnh Bình, TT Vĩnh Thạnh Trung, Châu Phú, An Giang",Khóm Vĩnh Bình,old,False,An Giang,Tỉnh An Giang,89,89,Châu Phú,Huyện Châu Phú,889,889,Thị trấn Vĩnh Thạnh Trung,Thị trấn Vĩnh Thạnh Trung,30478,30478
104,"Tân Hậu A1, Tân An, Thị xã Tân Châu, An Giang",Tân Hậu A1,old,False,An Giang,Tỉnh An Giang,89,89,Tân Châu,Thị xã Tân Châu,887,887,Xã Tân An,Xã Tân An,30388,30388
